date,team,team_code,opponent,size,lineup,minutes,plus_minus,pm_per36
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #66 GLENN COSEY / #9 THOMAS DRECHSEL,14.8,3,7.3
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,7.47,8,38.55
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,7.47,8,38.55
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #66 GLENN COSEY / #9 THOMAS DRECHSEL,12.73,2,5.66
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,9.85,4,14.62
2026-07-23,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,7.47,8,38.55
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #66 GLENN COSEY / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,2.45,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #66 GLENN COSEY,14.43,5,12.47
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,12.48,6,17.31
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #66 GLENN COSEY / #7 JOSE CRUZ,4.02,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,5,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #66 GLENN COSEY / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,2.07,1,17.39
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,2.88,-3,-37.5
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #66 GLENN COSEY / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,0.82,-3,-131.71
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #7 JOSE CRUZ,2.88,-3,-37.5
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,2.88,-3,-37.5
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #66 GLENN COSEY / #7 JOSE CRUZ,0.82,-3,-131.71
2026-07-23,Diablos Rojos,DRM,AGS,5,#10 BRUNO PEDRO / #24 MICHAEL CARRERA / #66 GLENN COSEY / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,0.82,-3,-131.71
2026-07-23,Diablos Rojos,DRM,AGS,2,#10 BRUNO PEDRO / #23 DEVON SCOTT,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #23 DEVON SCOTT / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,3,#10 BRUNO PEDRO / #23 DEVON SCOTT / #24 MICHAEL CARRERA,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,4,#10 BRUNO PEDRO / #23 DEVON SCOTT / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #10 BRUNO PEDRO / #23 DEVON SCOTT,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #23 DEVON SCOTT / #9 THOMAS DRECHSEL,0.0,0,0
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #10 BRUNO PEDRO / #23 DEVON SCOTT / #24 MICHAEL CARRERA,0.0,0,0
